latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
491,0.44362253,0.44362253,18.438573377993905,710
1431,-0.44245002,0.44245002,-24.521507124105007,711
1473,0.44223014,0.44223014,20.35933459834588,712
1292,0.44211257,0.44211257,23.887114984827523,713
1382,-0.4415243,0.4415243,-19.886290364530538,714
291,0.44026724,0.44026724,18.31827157981398,715
1020,-0.43742958,0.43742958,-17.67082120175431,716
311,0.43662858,0.43662858,17.54098744659639,717
256,0.4359313,0.4359313,20.19031179841638,718
80,-0.4354436,0.4354436,-18.652269074414445,719
1019,0.43354127,0.43354127,18.18819029918725,720
458,0.43347237,0.43347237,17.28639592770161,721
405,0.4333861,0.4333861,18.473425394363534,722
770,-0.43321759,0.43321759,-18.391210827578917,723
337,-0.43294394,0.43294394,-17.959159079481378,724
324,0.43121704,0.43121704,18.750908801522844,725
538,0.4302037,0.4302037,18.43364760935492,726
626,0.43013743,0.43013743,17.81683177961684,727
375,0.43003023,0.43003023,17.502347489010383,728
1108,0.4297371,0.4297371,20.312831068682584,729
729,0.429691,0.429691,16.729357833604276,730
744,0.42930552,0.42930552,17.5717370935494,731
432,0.42929417,0.42929417,16.550953731100126,732
1129,0.42913038,0.42913038,20.027243206426547,733
872,0.42867142,0.42867142,18.29578067715251,734
830,0.4280577,0.4280577,16.967517300722125,735
1430,-0.4280348,0.4280348,-21.689306147249983,736
1205,0.42796823,0.42796823,21.5349478709782,737
1234,0.4266924,0.4266924,18.059518511677222,738
1199,-0.4263813,0.4263813,-18.698699367489667,739
836,-0.4260368,0.4260368,-17.63487801547521,740
1175,0.42499775,0.42499775,18.59579112989057,741
513,-0.4224947,0.4224947,-17.710466797829916,742
709,0.42143935,0.42143935,16.96129298143971,743
115,0.42131004,0.42131004,18.38182510944196,744
350,-0.42067742,0.42067742,-19.21681466339573,745
1002,0.42066956,0.42066956,17.95884854876791,746
622,0.4179717,0.4179717,16.678492105763883,747
1353,-0.41718328,0.41718328,-21.29052728074558,748
905,0.41698992,0.41698992,17.1632506394671,749
1037,0.41623276,0.41623276,30.49911645680541,750
509,0.41594106,0.41594106,17.665958951492602,751
662,0.41408518,0.41408518,16.597739683647898,752
13,-0.41395444,0.41395444,-18.072196482923253,753
224,0.41382945,0.41382945,15.870709699982303,754
141,0.41214505,0.41214505,17.992464833284533,755
1145,0.41158682,0.41158682,22.52479641607318,756
984,-0.4113215,0.4113215,-17.31434935430632,757
693,0.410884,0.410884,16.27860484551092,758
