latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
428,0.39766335,0.39766335,9.466579432587013,396
315,0.3940341,0.3940341,10.022175773636615,397
480,0.3918166,0.3918166,9.72434710906137,398
394,0.38822725,0.38822725,9.541089031648383,399
63,0.3828522,0.3828522,9.636886124351346,400
490,-0.37766683,0.37766683,-9.389741960904038,401
123,-0.37374038,0.37374038,-8.787877337482314,402
127,-0.3706055,0.3706055,-8.77016693140214,403
197,-0.3704258,0.3704258,-8.676393244676502,404
283,0.36852956,0.36852956,8.552577116062624,405
25,0.3679513,0.3679513,8.784770363800456,406
434,-0.3621192,0.3621192,-9.048402142247363,407
367,-0.36080533,0.36080533,-8.45093034236736,408
189,0.35644343,0.35644343,8.164906116584346,409
419,0.3497724,0.3497724,8.42223936631976,410
481,-0.3458099,0.3458099,-8.647144560010345,411
501,0.34429038,0.34429038,8.505439375988033,412
55,0.34340227,0.34340227,8.775461095785962,413
169,0.33700803,0.33700803,8.97625322159672,414
293,-0.33361936,0.33361936,-7.691032452455309,415
271,0.3255126,0.3255126,7.918141647520071,416
289,-0.32548004,0.32548004,-7.805403168436859,417
312,0.32425925,0.32425925,7.740211680397549,418
321,0.32140478,0.32140478,7.793508515918184,419
38,-0.31723788,0.31723788,-7.61621196569256,420
106,0.3120385,0.3120385,7.082168142194971,421
139,0.30040473,0.30040473,7.096625218485961,422
216,0.29099414,0.29099414,7.071438745795479,423
179,-0.28823575,0.28823575,-6.717161444317943,424
456,0.2881887,0.2881887,7.550409724698402,425
27,0.27729714,0.27729714,6.859643596728884,426
203,-0.2732042,0.2732042,-6.750268424981798,427
360,0.27225944,0.27225944,6.772227584239333,428
23,0.26102477,0.26102477,6.0031050837778315,429
498,-0.26100042,0.26100042,-6.02627902097182,430
252,-0.25743476,0.25743476,-6.562179658353999,431
340,-0.25461417,0.25461417,-5.999275072237131,432
17,0.25393754,0.25393754,5.999218549253326,433
162,0.25230128,0.25230128,6.01306155798394,434
77,0.24956353,0.24956353,5.94992563518621,435
494,0.2350936,0.2350936,5.824315062855361,436
444,0.23448208,0.23448208,5.62239189688494,437
331,-0.23345184,0.23345184,-5.631291955992427,438
22,-0.23034675,0.23034675,-5.7906759588355845,439
251,0.22970197,0.22970197,5.396065138319263,440
503,0.22713125,0.22713125,5.423600844981474,441
330,0.22430445,0.22430445,5.842599132193469,442
244,-0.22232513,0.22232513,-5.597335238068617,443
60,0.21970443,0.21970443,5.320601284426143,444
239,-0.21926084,0.21926084,-5.389660345715647,445
270,-0.21594684,0.21594684,-5.1981134549102155,446
6,-0.20710985,0.20710985,-4.743482215415576,447
114,0.20443346,0.20443346,4.934689761608421,448
378,-0.20218578,0.20218578,-5.052844223930254,449
268,0.19862172,0.19862172,4.822138901366183,450
243,0.1982724,0.1982724,5.012768958718448,451
134,0.19007246,0.19007246,4.951111257619826,452
82,0.18764699,0.18764699,4.385652063277564,453
485,0.18348573,0.18348573,4.563600774524237,454
392,-0.18051505,0.18051505,-4.353524410778777,455
326,0.17713271,0.17713271,4.348346204065148,456
88,0.17231445,0.17231445,4.2616165527072285,457
222,0.17043076,0.17043076,4.177979284405625,458
372,0.16805004,0.16805004,3.920813153483143,459
472,0.16188629,0.16188629,3.958404853464603,460
298,0.15997277,0.15997277,3.941678086773007,461
195,-0.15668133,0.15668133,-3.7432011553758895,462
201,0.14822067,0.14822067,3.7626601570068288,463
24,0.14370792,0.14370792,3.633434236818912,464
94,0.14075644,0.14075644,3.5009331582604846,465
508,-0.1394946,0.1394946,-3.2830265617027186,466
436,-0.13630427,0.13630427,-3.2531083082917993,467
158,0.13618103,0.13618103,3.3411832373629755,468
285,0.13471363,0.13471363,3.301355126367605,469
308,0.13150245,0.13150245,3.180719446343294,470
183,0.12921168,0.12921168,3.2722429189110813,471
407,-0.12673639,0.12673639,-2.991208062272961,472
235,0.12579186,0.12579186,2.99563128418187,473
111,-0.12246078,0.12246078,-3.0439869804020447,474
430,-0.120373555,0.120373555,-2.922118290657539,475
448,-0.1189949,0.1189949,-2.9140636407640335,476
233,0.11723403,0.11723403,2.7187706267774012,477
468,-0.10923661,0.10923661,-2.551647700975282,478
400,0.107711576,0.107711576,2.63122425035225,479
231,-0.10312487,0.10312487,-2.474852140011417,480
145,0.10299099,0.10299099,2.634507170286335,481
454,0.09866109,0.09866109,2.3800292171536266,482
19,-0.09828082,0.09828082,-2.3186727927302604,483
172,0.09244613,0.09244613,2.3111642626423428,484
471,0.09136471,0.09136471,2.1040406389585717,485
389,-0.090338625,0.090338625,-2.2857686329820712,486
365,-0.08419603,0.08419603,-1.9867040316670177,487
281,-0.083488755,0.083488755,-2.0234907253749093,488
9,0.08237359,0.08237359,1.928016686925825,489
287,0.07382803,0.07382803,1.74863814955155,490
320,-0.06298547,0.06298547,-1.5338047755714448,491
230,0.06271109,0.06271109,1.510261943775824,492
159,-0.055919208,0.055919208,-1.3963659247626057,493
232,0.051875938,0.051875938,1.2393736812955278,494
174,-0.044992745,0.044992745,-1.1093733336270373,495
204,0.04264524,0.04264524,0.9529689323778283,496
97,-0.038549654,0.038549654,-0.89435788203485,497
306,0.035280515,0.035280515,0.8812556620420289,498
188,-0.032467883,0.032467883,-0.7709867271471622,499
277,-0.03184373,0.03184373,-0.7820767514588925,500
465,0.02589735,0.02589735,0.6275185772529366,501
358,-0.024084723,0.024084723,-0.6181631551739668,502
152,-0.022926843,0.022926843,-0.5712008547607235,503
309,0.021060448,0.021060448,0.5133614163095773,504
187,0.020843709,0.020843709,0.4898322389805281,505
176,-0.017719118,0.017719118,-0.4020700346587222,506
355,0.016855773,0.016855773,0.4111468769183028,507
507,-0.008425796,0.008425796,-0.20497289365216254,508
215,0.00787508,0.00787508,0.18680587662993733,509
170,0.0062164487,0.0062164487,0.15412973583946474,510
42,0.0022062585,0.0022062585,0.05305457014106528,511
479,0.0020120966,0.0020120966,0.049306987128161714,512
