latent_dimension,standardized_coefficient_years_per_sd,absolute_standardized_coefficient,original_scale_coefficient,absolute_rank
87,-2.1185396,2.1185396,-49.79655697367579,230
505,2.1162205,2.1162205,50.12364210687982,231
49,2.110082,2.110082,50.59797134681714,232
236,2.098192,2.098192,52.684429767218155,233
442,-2.0969718,2.0969718,-49.668132939754486,234
446,2.083457,2.083457,52.71418184162757,235
330,2.0825927,2.0825927,50.97914915503392,236
18,-2.0705628,2.0705628,-49.560150588872084,237
372,2.0666375,2.0666375,50.696318292838576,238
5,-2.0664685,2.0664685,-52.63580851663534,239
349,2.0564914,2.0564914,53.40090233283736,240
239,2.052519,2.052519,50.254511815058194,241
473,-2.0509052,2.0509052,-51.270001405871746,242
297,-2.0473795,2.0473795,-49.07994797893623,243
422,-2.0465603,2.0465603,-48.46399397305981,244
156,-2.0454457,2.0454457,-50.97568655858032,245
227,-2.0327315,2.0327315,-50.90930835149025,246
111,-2.0297728,2.0297728,-49.371979124925026,247
257,-2.0246243,2.0246243,-52.94467195912992,248
286,2.0232596,2.0232596,46.60367551431968,249
424,2.010772,2.010772,44.34074112138464,250
430,-2.0008192,2.0008192,-48.223668561987175,251
468,1.9611325,1.9611325,48.908848721518886,252
32,1.9578259,1.9578259,48.29942411745978,253
280,-1.9496282,1.9496282,-47.68648633814711,254
290,-1.9440662,1.9440662,-49.311710193078476,255
60,-1.9386876,1.9386876,-48.32164131242489,256
77,-1.928423,1.928423,-49.52122809508918,257
307,1.9054017,1.9054017,44.87060024777261,258
443,1.884315,1.884315,45.7355834033028,259
54,-1.8430492,1.8430492,-45.42894215495455,260
108,-1.8317008,1.8317008,-43.24258980647677,261
234,-1.8283448,1.8283448,-44.32822449873801,262
127,1.8276539,1.8276539,44.95356027523363,263
176,1.8238629,1.8238629,44.38031138573038,264
200,-1.807736,1.807736,-44.352518046634444,265
368,-1.8032768,1.8032768,-45.396293485644286,266
477,1.8007053,1.8007053,44.70116339657362,267
308,1.7929949,1.7929949,45.84552411035564,268
58,-1.7927346,1.7927346,-43.270453908616695,269
17,-1.781432,1.781432,-43.728648659435045,270
509,-1.7626286,1.7626286,-44.230259061949155,271
201,1.7545216,1.7545216,42.13191912835998,272
238,1.7463022,1.7463022,41.228470298266124,273
461,-1.7456498,1.7456498,-42.279696606613804,274
180,1.7389574,1.7389574,39.16754936535631,275
378,1.7354499,1.7354499,40.282347326549264,276
67,1.7350436,1.7350436,44.60549403274556,277
448,1.7213523,1.7213523,41.245954394292774,278
452,1.7192771,1.7192771,38.76560867583698,279
301,-1.7191491,1.7191491,-41.76011656224674,280
510,-1.7142606,1.7142606,-39.25163316330081,281
481,-1.7079247,1.7079247,-39.28840455811112,282
193,-1.692524,1.692524,-40.38146941151146,283
385,1.6844862,1.6844862,40.15449870765145,284
172,1.6832939,1.6832939,38.77802777177598,285
339,-1.6678028,1.6678028,-40.70800594651599,286
133,-1.6645614,1.6645614,-41.29928242879477,287
367,-1.6478628,1.6478628,-39.52821438061469,288
437,-1.6228716,1.6228716,-41.112004467191795,289
68,-1.6059148,1.6059148,-36.915048635248155,290
492,-1.5941074,1.5941074,-40.12003366808878,291
369,1.5880172,1.5880172,39.03293891789358,292
118,1.5701575,1.5701575,36.70758897863242,293
104,-1.5508502,1.5508502,-38.62342262725975,294
28,-1.5417608,1.5417608,-35.939834829632765,295
213,-1.5188502,1.5188502,-38.54552751984145,296
334,1.5174738,1.5174738,36.54225467165032,297
403,1.5130574,1.5130574,36.93336970433308,298
333,-1.5026374,1.5026374,-36.220686763410555,299
114,-1.4828352,1.4828352,-36.248254027746334,300
